asset,interval,total_return,num_trades
ADBE,1_year,-0.054507751980823915,2.0
ADBE,2_years,-0.027322797099260443,4.0
ADBE,6_months,-0.05875284277122306,2.0
ADBE,3_months,-0.05815484845666796,0.0
ADBE,5_years,0.06520736024353901,8.0
ADBE,10_years,4.197070014570071,12.0
ADBE,15_years,11.91907819915426,14.0
ADBE,dotcom_bubble,1.0060829602392962,4.0
ADBE,9_11,-0.16871052576673295,0.0
ADBE,2008_crisis,-0.29531874141966197,5.0
ADBE,2011_euro_crisis,-0.09651647073826153,2.0
ADBE,2016_election,0.4180327800090342,1.0
ADBE,rate_hike_era,0.05710789153852458,1.0
ADBE,russia_ukraine,-0.35644985774633386,0.0
JPM,1_year,0.33843380126488753,1.0
JPM,2_years,1.0154250335200858,3.0
JPM,6_months,0.11249159826992372,2.0
JPM,3_months,0.019208547013201516,1.0
JPM,5_years,2.0769920284550984,5.0
JPM,10_years,4.257293008357265,11.0
JPM,15_years,9.170101124084116,19.0
JPM,dotcom_bubble,-0.43544517953853135,18.0
JPM,9_11,-0.12436463871006698,0.0
JPM,2008_crisis,-0.2590677337605718,3.0
JPM,2011_euro_crisis,-0.22049624948612712,2.0
JPM,2016_election,0.2838266907790894,1.0
JPM,covid_crash,-0.2627939853283403,0.0
JPM,covid_bounce,0.7198543792030743,3.0
JPM,rate_hike_era,0.11749736370814401,1.0
JPM,russia_ukraine,-0.0625731376857489,0.0
BAC,1_year,0.13390246143665108,4.0
BAC,2_years,0.6661105307011899,4.0
BAC,6_months,0.0026754246202360665,2.0
BAC,3_months,-0.025274575418474998,0.0
BAC,5_years,1.030452796593973,10.0
BAC,10_years,2.2947426863660274,20.0
BAC,15_years,2.622198680994865,26.0
BAC,dotcom_bubble,0.33864711955580584,9.0
BAC,9_11,-0.01682086495418289,0.0
BAC,2008_crisis,-0.7015329489141876,2.0
BAC,2011_euro_crisis,-0.6063003937393512,2.0
BAC,2016_election,0.5303604972052651,1.0
BAC,covid_crash,-0.2637580791059583,0.0
BAC,covid_bounce,0.7661803033079699,5.0
BAC,rate_hike_era,-0.23068960815799888,3.0
BAC,russia_ukraine,-0.17967229223650005,0.0
WFC,1_year,0.29048577259094044,1.0
WFC,2_years,0.9685988293325436,5.0
WFC,6_months,0.07652757953061218,2.0
WFC,3_months,-0.023883453550789358,0.0
WFC,5_years,2.0898418899627527,9.0
WFC,10_years,0.7736868849183944,21.0
WFC,15_years,2.9574932110043957,23.0
WFC,dotcom_bubble,0.2851130551612966,6.0
WFC,9_11,-0.07024216903583702,0.0
WFC,2008_crisis,-0.26005478848774866,5.0
WFC,2011_euro_crisis,-0.11226209429835421,2.0
WFC,2016_election,0.033341187638579406,3.0
WFC,covid_crash,-0.4207131651658028,0.0
WFC,covid_bounce,0.7489824454000764,1.0
WFC,rate_hike_era,0.02409596700099148,7.0
WFC,russia_ukraine,-0.11733887640196261,0.0
GS,1_year,0.34741070801232055,2.0
GS,2_years,0.9957258671961677,4.0
GS,6_months,0.05472518242888946,2.0
GS,3_months,-0.003002109168416922,0.0
GS,5_years,2.38611557322119,14.0
GS,10_years,2.5333360330204657,18.0
GS,15_years,4.524063542795986,26.0
GS,dotcom_bubble,-0.009835260739468943,6.0
GS,9_11,0.044321542049545526,1.0
GS,2008_crisis,-0.31374322988475967,3.0
GS,2011_euro_crisis,-0.4713492496278405,0.0
GS,2016_election,0.3378614302406955,1.0
GS,covid_crash,-0.1677035982498778,0.0
GS,covid_bounce,0.8959957092613233,5.0
GS,rate_hike_era,0.0333058351737312,7.0
GS,russia_ukraine,0.08866043939798796,3.0
MS,1_year,0.3563390854988011,2.0
MS,2_years,0.6760614571088959,4.0
MS,6_months,0.041160500601387096,2.0
MS,3_months,-0.0005634102112324069,1.0
MS,5_years,2.3641997255698475,8.0
MS,10_years,3.38525802198411,18.0
MS,15_years,5.813941963235248,26.0
MS,dotcom_bubble,0.17286005505536362,8.0
MS,9_11,-0.10620815252570825,0.0
MS,2008_crisis,-0.5772954669982557,1.0
MS,2011_euro_crisis,-0.4593086741018545,2.0
MS,2016_election,0.5520040152571142,1.0
MS,covid_crash,-0.15230254615550265,0.0
MS,covid_bounce,1.0834637255658657,1.0
MS,rate_hike_era,0.0008106923203909933,4.0
MS,russia_ukraine,-0.0795740208785819,2.0
AXP,1_year,0.255385273294354,2.0
AXP,2_years,0.8530036710474642,4.0
AXP,6_months,-0.009081323529548269,2.0
AXP,3_months,-0.001569558481298139,1.0
AXP,5_years,2.2447504545813635,8.0
AXP,10_years,3.2824535038621514,10.0
AXP,15_years,8.302217429187468,24.0
AXP,dotcom_bubble,0.0869592698764694,6.0
AXP,9_11,-0.20460294825455283,0.0
AXP,2008_crisis,-0.6041717781865175,1.0
AXP,2011_euro_crisis,0.1042279216169002,7.0
AXP,2016_election,0.18902023884442465,1.0
AXP,covid_crash,-0.27024341940356356,0.0
AXP,covid_bounce,0.6804348182037161,3.0
AXP,rate_hike_era,0.1448576315250929,5.0
AXP,russia_ukraine,-0.13242736152453471,2.0
C,1_year,0.2575593928410518,3.0
C,2_years,0.8121245311414584,3.0
C,6_months,0.0930516461137949,2.0
C,3_months,-0.01616818395261832,0.0
C,5_years,0.839036096908172,9.0
C,10_years,0.8320642603163004,15.0
C,15_years,1.603846738664712,25.0
C,dotcom_bubble,0.5831535606359142,11.0
C,9_11,-0.04776207647871544,0.0
C,2008_crisis,-0.9376426573867286,0.0
C,2011_euro_crisis,-0.4626082561371653,0.0
C,2016_election,0.3058830352222297,1.0
C,covid_crash,-0.3555369675966483,0.0
C,covid_bounce,0.653047954771554,3.0
C,rate_hike_era,-0.11284759810707101,7.0
C,russia_ukraine,-0.2434486719535207,0.0
XOM,1_year,-0.07499227013961485,2.0
